cod_mun,municipio,cod_uf,popul_19
110001,Alta Floresta D Oeste,11,22945
110002,Ariquemes,11,107863
110003,Cabixi,11,5312
110004,Cacoal,11,85359
110005,Cerejeiras,11,16323
110006,Colorado do Oeste,11,15882
110007,Corumbiara,11,7391
110008,Costa Marques,11,18331
110009,Espigão D Oeste,11,32374
110010,Guajará-Mirim,11,46174
110011,Jaru,11,51775
110012,Ji-Paraná,11,128969
110013,Machadinho D Oeste,11,39991
110014,Nova Brasilândia D Oeste,11,20474
110015,Ouro Preto do Oeste,11,36035
110018,Pimenta Bueno,11,36660
110020,Porto Velho,11,529544
110025,Presidente Médici,11,18986
110026,Rio Crespo,11,3764
110028,Rolim de Moura,11,55058
110029,Santa Luzia D Oeste,11,6495
110030,Vilhena,11,99854
110032,São Miguel do Guaporé,11,23005
110033,Nova Mamoré,11,30583
110034,Alvorada D Oeste,11,14411
110037,Alto Alegre dos Parecis,11,13241
110040,Alto Paraíso,11,21428
110045,Buritis,11,39654
110050,Novo Horizonte do Oeste,11,8538
110060,Cacaulândia,11,6230
110070,Campo Novo de Rondônia,11,14139
110080,Candeias do Jamari,11,26693
110090,Castanheiras,11,3052
110092,Chupinguaia,11,11182
110094,Cujubim,11,25215
110100,Governador Jorge Teixeira,11,7767
110110,Itapuã do Oeste,11,10458
110120,Ministro Andreazza,11,9660
110130,Mirante da Serra,11,10947
110140,Monte Negro,11,15852
110143,Nova União,11,6970
110145,Parecis,11,6074
110146,Pimenteiras do Oeste,11,2169
110147,Primavera de Rondônia,11,2856
110148,São Felipe D Oeste,11,5172
110149,São Francisco do Guaporé,11,20266
110150,Seringueiras,11,11856
110155,Teixeirópolis,11,4308
110160,Theobroma,11,10444
110170,Urupá,11,11467
110175,Vale do Anari,11,11204
110180,Vale do Paraíso,11,6825
120001,Acrelândia,12,15256
120005,Assis Brasil,12,7417
120010,Brasiléia,12,26278
120013,Bujari,12,10266
120017,Capixaba,12,11733
120020,Cruzeiro do Sul,12,88376
120025,Epitaciolândia,12,18411
120030,Feijó,12,34780
120032,Jordão,12,8317
120033,Mâncio Lima,12,18977
120034,Manoel Urbano,12,9459
120035,Marechal Thaumaturgo,12,18867
120038,Plácido de Castro,12,19761
120039,Porto Walter,12,11982
120040,Rio Branco,12,407319
120042,Rodrigues Alves,12,18930
