cod_post,nome_posto,cod_mun,cod_uf
11001,VALE DO JAMARI,110002,11
11001,VALE DO JAMARI,110013,11
11001,VALE DO JAMARI,110026,11
11001,VALE DO JAMARI,110040,11
11001,VALE DO JAMARI,110045,11
11001,VALE DO JAMARI,110060,11
11001,VALE DO JAMARI,110070,11
11001,VALE DO JAMARI,110094,11
11001,VALE DO JAMARI,110140,11
11002,CAFE,110004,11
11002,CAFE,110009,11
11002,CAFE,110018,11
11002,CAFE,110120,11
11002,CAFE,110147,11
11002,CAFE,110148,11
11003,CENTRAL,110011,11
11003,CENTRAL,110012,11
11003,CENTRAL,110015,11
11003,CENTRAL,110025,11
11003,CENTRAL,110032,11
11003,CENTRAL,110034,11
11003,CENTRAL,110100,11
11003,CENTRAL,110130,11
11003,CENTRAL,110143,11
11003,CENTRAL,110155,11
11003,CENTRAL,110160,11
11003,CENTRAL,110170,11
11003,CENTRAL,110175,11
11003,CENTRAL,110180,11
11004,MADEIRA-MAMORE,110010,11
11004,MADEIRA-MAMORE,110020,11
11004,MADEIRA-MAMORE,110033,11
11004,MADEIRA-MAMORE,110080,11
11004,MADEIRA-MAMORE,110110,11
11005,ZONA DA MATA,110001,11
11005,ZONA DA MATA,110014,11
11005,ZONA DA MATA,110028,11
11005,ZONA DA MATA,110029,11
11005,ZONA DA MATA,110037,11
11005,ZONA DA MATA,110050,11
11005,ZONA DA MATA,110090,11
11005,ZONA DA MATA,110145,11
11006,CONE SUL,110003,11
11006,CONE SUL,110005,11
11006,CONE SUL,110006,11
11006,CONE SUL,110007,11
11006,CONE SUL,110030,11
11006,CONE SUL,110092,11
11006,CONE SUL,110146,11
11007,VALE DO GUAPORE,110008,11
11007,VALE DO GUAPORE,110149,11
11007,VALE DO GUAPORE,110150,11
12001,ALTO ACRE,120005,12
12001,ALTO ACRE,120010,12
12001,ALTO ACRE,120025,12
12001,ALTO ACRE,120070,12
12002,BAIXO ACRE E PURUS,120001,12
12002,BAIXO ACRE E PURUS,120013,12
12002,BAIXO ACRE E PURUS,120017,12
12002,BAIXO ACRE E PURUS,120032,12
12002,BAIXO ACRE E PURUS,120034,12
12002,BAIXO ACRE E PURUS,120038,12
12002,BAIXO ACRE E PURUS,120040,12
12002,BAIXO ACRE E PURUS,120043,12
12002,BAIXO ACRE E PURUS,120045,12
12002,BAIXO ACRE E PURUS,120050,12
12002,BAIXO ACRE E PURUS,120080,12
12003,JURUA E TARAUACA/ENVIRA,120020,12
12003,JURUA E TARAUACA/ENVIRA,120030,12
12003,JURUA E TARAUACA/ENVIRA,120033,12
12003,JURUA E TARAUACA/ENVIRA,120035,12
12003,JURUA E TARAUACA/ENVIRA,120039,12
12003,JURUA E TARAUACA/ENVIRA,120042,12
12003,JURUA E TARAUACA/ENVIRA,120060,12
13001,"MANAUS, ENTORNO E ALTO RIO NEGRO",130030,13
13001,"MANAUS, ENTORNO E ALTO RIO NEGRO",130040,13
13001,"MANAUS, ENTORNO E ALTO RIO NEGRO",130110,13
13001,"MANAUS, ENTORNO E ALTO RIO NEGRO",130115,13
13001,"MANAUS, ENTORNO E ALTO RIO NEGRO",130185,13
13001,"MANAUS, ENTORNO E ALTO RIO NEGRO",130255,13
13001,"MANAUS, ENTORNO E ALTO RIO NEGRO",130260,13
13001,"MANAUS, ENTORNO E ALTO RIO NEGRO",130310,13
13001,"MANAUS, ENTORNO E ALTO RIO NEGRO",130353,13
13001,"MANAUS, ENTORNO E ALTO RIO NEGRO",130356,13
13001,"MANAUS, ENTORNO E ALTO RIO NEGRO",130360,13
13001,"MANAUS, ENTORNO E ALTO RIO NEGRO",130380,13
13002,RIO NEGRO E SOLIMOES,130008,13
13002,RIO NEGRO E SOLIMOES,130010,13
13002,RIO NEGRO E SOLIMOES,130063,13
13002,RIO NEGRO E SOLIMOES,130083,13
13002,RIO NEGRO E SOLIMOES,130120,13
13002,RIO NEGRO E SOLIMOES,130130,13
13002,RIO NEGRO E SOLIMOES,130250,13
13002,RIO NEGRO E SOLIMOES,130320,13
13003,RIO MADEIRA,130014,13
13003,RIO MADEIRA,130080,13
13003,RIO MADEIRA,130170,13
13003,RIO MADEIRA,130270,13
13003,RIO MADEIRA,130330,13
13004,MEDIO AMAZONAS,130190,13
13004,MEDIO AMAZONAS,130200,13
13004,MEDIO AMAZONAS,130395,13
13004,MEDIO AMAZONAS,130400,13
13004,MEDIO AMAZONAS,130430,13
13004,MEDIO AMAZONAS,130440,13
13005,BAIXO AMAZONAS,130050,13
13005,BAIXO AMAZONAS,130068,13
13005,BAIXO AMAZONAS,130290,13
13005,BAIXO AMAZONAS,130300,13
13005,BAIXO AMAZONAS,130340,13
13006,REGIONAL PURUS,130070,13
13006,REGIONAL PURUS,130090,13
13006,REGIONAL PURUS,130240,13
13006,REGIONAL PURUS,130350,13
13006,REGIONAL PURUS,130410,13
13007,REGIONAL JURUA,130100,13
13007,REGIONAL JURUA,130140,13
13007,REGIONAL JURUA,130150,13
13007,REGIONAL JURUA,130165,13
13007,REGIONAL JURUA,130180,13
13007,REGIONAL JURUA,130195,13
13008,TRIANGULO,130002,13
13008,TRIANGULO,130210,13
13008,TRIANGULO,130220,13
13008,TRIANGULO,130280,13
13008,TRIANGULO,130420,13
13008,TRIANGULO,130426,13
13009,ALTO SOLIMOES,130006,13
13009,ALTO SOLIMOES,130020,13
13009,ALTO SOLIMOES,130060,13
13009,ALTO SOLIMOES,130160,13
13009,ALTO SOLIMOES,130230,13
13009,ALTO SOLIMOES,130370,13
13009,ALTO SOLIMOES,130390,13
13009,ALTO SOLIMOES,130406,13
13009,ALTO SOLIMOES,130423,13
14001,CENTRO NORTE,140002,14
14001,CENTRO NORTE,140005,14
14001,CENTRO NORTE,140010,14
14001,CENTRO NORTE,140015,14
14001,CENTRO NORTE,140017,14
14001,CENTRO NORTE,140030,14
14001,CENTRO NORTE,140040,14
14001,CENTRO NORTE,140045,14
14001,CENTRO NORTE,140070,14
14002,SUL,140020,14
14002,SUL,140023,14
14002,SUL,140028,14
14002,SUL,140047,14
14002,SUL,140050,14
14002,SUL,140060,14
15001,ARAGUAIA,150034,15
15001,ARAGUAIA,150125,15
15001,ARAGUAIA,150270,15
15001,ARAGUAIA,150276,15
15001,ARAGUAIA,150304,15
15001,ARAGUAIA,150543,15
15001,ARAGUAIA,150555,15
15001,ARAGUAIA,150613,15
15001,ARAGUAIA,150616,15
15001,ARAGUAIA,150658,15
15001,ARAGUAIA,150670,15
15001,ARAGUAIA,150730,15
15001,ARAGUAIA,150775,15
15001,ARAGUAIA,150808,15
15001,ARAGUAIA,150840,15
15002,BAIXO AMAZONAS,150040,15
15002,BAIXO AMAZONAS,150050,15
15002,BAIXO AMAZONAS,150145,15
15002,BAIXO AMAZONAS,150285,15
15002,BAIXO AMAZONAS,150300,15
15002,BAIXO AMAZONAS,150390,15
15002,BAIXO AMAZONAS,150475,15
15002,BAIXO AMAZONAS,150480,15
15002,BAIXO AMAZONAS,150510,15
15002,BAIXO AMAZONAS,150530,15
15002,BAIXO AMAZONAS,150565,15
15002,BAIXO AMAZONAS,150600,15
15002,BAIXO AMAZONAS,150680,15
15002,BAIXO AMAZONAS,150797,15
15003,CARAJAS,150013,15
15003,CARAJAS,150157,15
15003,CARAJAS,150175,15
15003,CARAJAS,150215,15
15003,CARAJAS,150277,15
15003,CARAJAS,150293,15
15003,CARAJAS,150295,15
15003,CARAJAS,150370,15
15003,CARAJAS,150420,15
15003,CARAJAS,150497,15
15003,CARAJAS,150549,15
15003,CARAJAS,150553,15
15003,CARAJAS,150563,15
15003,CARAJAS,150618,15
15003,CARAJAS,150715,15
15003,CARAJAS,150745,15
15003,CARAJAS,150750,15
15004,LAGO DE TUCURUI,150178,15
15004,LAGO DE TUCURUI,150309,15
15004,LAGO DE TUCURUI,150380,15
15004,LAGO DE TUCURUI,150506,15
15004,LAGO DE TUCURUI,150795,15
15004,LAGO DE TUCURUI,150810,15
15006,METROPOLITANA I,150080,15
15006,METROPOLITANA I,150140,15
15006,METROPOLITANA I,150150,15
15006,METROPOLITANA I,150442,15
15006,METROPOLITANA I,150635,15
15007,METROPOLITANA II,150020,15
15007,METROPOLITANA II,150190,15
15007,METROPOLITANA II,150260,15
15007,METROPOLITANA II,150275,15
15007,METROPOLITANA II,150650,15
15007,METROPOLITANA II,150700,15
15007,METROPOLITANA II,150710,15
15007,METROPOLITANA II,150800,15
15007,METROPOLITANA II,150820,15
15008,METROPOLITANA III,150095,15
15008,METROPOLITANA III,150230,15
15008,METROPOLITANA III,150240,15
15008,METROPOLITANA III,150290,15
15008,METROPOLITANA III,150307,15
15008,METROPOLITANA III,150320,15
15008,METROPOLITANA III,150340,15
15008,METROPOLITANA III,150345,15
15008,METROPOLITANA III,150350,15
15008,METROPOLITANA III,150405,15
15008,METROPOLITANA III,150410,15
15008,METROPOLITANA III,150430,15
15008,METROPOLITANA III,150440,15
15008,METROPOLITANA III,150495,15
15008,METROPOLITANA III,150550,15
15008,METROPOLITANA III,150660,15
15008,METROPOLITANA III,150720,15
15008,METROPOLITANA III,150740,15
15008,METROPOLITANA III,150746,15
15008,METROPOLITANA III,150760,15
15008,METROPOLITANA III,150796,15
15008,METROPOLITANA III,150812,15
15009,RIO CAETES,150090,15
15009,RIO CAETES,150160,15
15009,RIO CAETES,150170,15
15009,RIO CAETES,150195,15
15009,RIO CAETES,150220,15
15009,RIO CAETES,150500,15
15009,RIO CAETES,150540,15
15009,RIO CAETES,150560,15
15009,RIO CAETES,150610,15
15009,RIO CAETES,150611,15
15009,RIO CAETES,150620,15
15009,RIO CAETES,150655,15
15009,RIO CAETES,150690,15
15009,RIO CAETES,150747,15
15009,RIO CAETES,150803,15
15009,RIO CAETES,150830,15
15010,TAPAJOS,150100,15
15010,TAPAJOS,150360,15
15010,TAPAJOS,150375,15
15010,TAPAJOS,150503,15
15010,TAPAJOS,150619,15
15010,TAPAJOS,150805,15
15011,TOCANTINS,150010,15
15011,TOCANTINS,150120,15
15011,TOCANTINS,150130,15
15011,TOCANTINS,150210,15
15011,TOCANTINS,150330,15
15011,TOCANTINS,150400,15
15011,TOCANTINS,150460,15
15011,TOCANTINS,150470,15
15011,TOCANTINS,150520,15
15012,XINGU,150060,15
15012,XINGU,150085,15
15012,XINGU,150172,15
15012,XINGU,150445,15
15012,XINGU,150548,15
15012,XINGU,150590,15
15012,XINGU,150780,15
15012,XINGU,150815,15
15012,XINGU,150835,15
15013,MARAJO I,150030,15
15013,MARAJO I,150200,15
15013,MARAJO I,150250,15
15013,MARAJO I,150490,15
15013,MARAJO I,150570,15
15013,MARAJO I,150630,15
15013,MARAJO I,150640,15
15013,MARAJO I,150770,15
15013,MARAJO I,150790,15
15014,MARAJO II,150070,15
15014,MARAJO II,150110,15
15014,MARAJO II,150180,15
15014,MARAJO II,150280,15
15014,MARAJO II,150310,15
15014,MARAJO II,150450,15
15014,MARAJO II,150580,15
16001,AREA CENTRAL,160005,16
16001,AREA CENTRAL,160015,16
16001,AREA CENTRAL,160021,16
16001,AREA CENTRAL,160023,16
16001,AREA CENTRAL,160025,16
16001,AREA CENTRAL,160030,16
16001,AREA CENTRAL,160053,16
16002,AREA NORTE,160010,16
16002,AREA NORTE,160020,16
16002,AREA NORTE,160050,16
16002,AREA NORTE,160055,16
16002,AREA NORTE,160070,16
16003,AREA SUDOESTE,160027,16
16003,AREA SUDOESTE,160040,16
16003,AREA SUDOESTE,160060,16
16003,AREA SUDOESTE,160080,16
17001,MEDIO NORTE ARAGUAIA,170130,17
17001,MEDIO NORTE ARAGUAIA,170210,17
17001,MEDIO NORTE ARAGUAIA,170215,17
17001,MEDIO NORTE ARAGUAIA,170300,17
